Terms,co-occurrence_counts
leader - hard,1
leader - support,1
leader - local,1
organ - afternoon,1
organ - .,13
"organ - ,",27
organ - mani,2
organ - leader,1
organ - work,2
organ - hard,1
organ - support,1
organ - local,3
organ - food,2
"work - ,",73
work - mani,6
work - leader,1
work - organ,2
work - hard,4
work - support,1
work - local,2
work - food,9
work - produc,2
"hard - ,",9
hard - mani,1
hard - leader,1
hard - organ,1
hard - work,4
hard - support,1
hard - local,1
hard - food,2
hard - produc,1
support - mani,1
support - leader,1
support - organ,1
support - work,1
support - hard,1
support - local,1
support - food,3
support - produc,1
support - economi,1
local - leader,1
local - organ,3
local - work,2
local - hard,1
local - support,1
local - produc,5
local - economi,1
"local - ,",19
food - organ,2
food - work,9
food - hard,2
food - support,3
food - produc,10
food - economi,3
food - provid,5
produc - work,2
produc - hard,1
produc - support,1
produc - local,5
produc - food,10
produc - economi,1
"produc - ,",30
produc - provid,2
produc - educ,1
food - educ,2
food - resourc,1
economi - support,1
economi - local,1
economi - food,3
economi - produc,1
"economi - ,",5
economi - provid,1
economi - educ,1
economi - resourc,1
economi - agricultur,1
", - local",19
", - produc",30
", - economi",5
", - provid",23
", - educ",8
", - resourc",7
", - agricultur",29
", - train",2
provid - food,5
provid - produc,2
provid - economi,1
"provid - ,",23
provid - educ,1
provid - resourc,2
provid - agricultur,1
provid - train,1
educ - produc,1
educ - food,2
educ - economi,1
"educ - ,",8
educ - provid,1
educ - resourc,1
educ - agricultur,1
educ - train,1
educ - and—at,1
resourc - food,1
resourc - economi,1
"resourc - ,",7
resourc - provid,2
resourc - educ,1
resourc - agricultur,1
resourc - train,1
resourc - and—at,1
resourc - heart,1
agricultur - economi,1
"agricultur - ,",29
agricultur - provid,1
agricultur - educ,1
agricultur - resourc,1
agricultur - train,1
agricultur - and—at,1
agricultur - heart,1
agricultur - all—mak,1
"train - ,",2
train - provid,1
train - educ,1
train - resourc,1
train - agricultur,1
train - and—at,1
train - heart,1
train - all—mak,1
train - sure,1
", - and—at",1
", - heart",2
", - all—mak",1
", - sure",33
", - neighbor",2
and—at - educ,1
and—at - resourc,1
and—at - agricultur,1
and—at - train,1
"and—at - ,",1
and—at - heart,1
and—at - all—mak,1
and—at - sure,1
and—at - neighbor,1
and—at - nourish,1
heart - resourc,1
heart - agricultur,1
heart - train,1
"heart - ,",2
heart - and—at,1
heart - all—mak,1
heart - sure,1
heart - neighbor,1
heart - nourish,1
heart - .,1
all—mak - agricultur,1
all—mak - train,1
"all—mak - ,",1
all—mak - and—at,1
all—mak - heart,1
all—mak - sure,1
all—mak - neighbor,1
all—mak - nourish,1
